glbNodeCode,officeCode
N00011,R11111
N02001,R22222
N02002,R00428
N02002,R00438
N02002,R03828
N02002,R00429
N02002,R00427
N02002,R00416
N02002,R00415
N02003,R03824
N02003,R03827
N02003,R00434
N02003,R00414
N02003,R00447
N02003,R00422
N02003,R00421
N02003,R00420
N02003,R00423
N02004,R00451
N02004,R00449
N02004,R00450
N02004,R00430
N02004,R00452
N02005,R00440
N02005,R00448
N02005,R00453
N02005,R00432
N02005,R00444
N02005,R00446
N02005,R00443
N02005,R00454
N02005,R00445
N02005,R00457
N02005,R00439
N02006,R00431
N02006,R00442
N02006,R00436
N02006,R00456
N02006,R00458
N02006,R00435
N02007,R00425
N02007,R00437
N02007,R00455
N02007,R00433
N02007,R03958
N02007,R00424
N02008,R00417
N02008,R00418
N02008,R00411
N02008,R00413
N02008,R00412
N02008,R00419
N02008,R00426
N02008,R00441
N31001,R00476
N31001,R00626
N31001,R00809
N31001,R00821
N31001,R00803
N31001,R08432
N31002,R00874
N31002,R00908
N31002,R00598
N31002,R00595
N31002,R00868
N31002,R00593
N31002,R00590
N31002,R00594
N31003,R00640
N31003,R00780
N31003,R00789
N31003,R00567
N31003,R00755
N31003,R00577
N31003,R00571
N31004,R00520
N31004,R00519
N31004,R00602
N31004,R00921
N31004,R00499
N31004,R00897
N31004,R00495
N31006,R00468
N31006,R00474
N31006,R00466
N31006,R03850
N31006,R00459
N31006,R00461
N31006,R00462
N31006,R00734
N31007,R00585
N31007,R00580
N31007,R00635
N31007,R00923
N31007,R08495
N31007,R00588
N31008,R00599
N31008,R00523
N31008,R00522
N31008,R00919
N31008,R00600
N31008,R00601
N31008,R00521
N31009,R00829
N31009,R00708
N31009,R03856
N31009,R00536
N31009,R00617
N31009,R00732
N31009,R00926
N31009,R00530
N31010,R00553
N31010,R00547
N31010,R00645
N31010,R00608
N31011,R00527
N31011,R00880
N31011,R00682
N31011,R00665
N31011,R00525
N31011,R00936
N31011,R00605
N31011,R00630
N31011,R00603
N32001,R00510
N32001,R00860
N32001,R00932
N32001,R00922
N32001,R00515
N32001,R00509
N32001,R00843
N32001,R00513
N32001,R00517
N32001,R00494
N32001,R00501
N32001,R00480
N32001,R04003
N33001,R03560
N33001,R03446
N33001,R03645
N33001,R03590
N33001,R03424
N33001,R03538
N33002,R03686
N33002,R03683
N33002,R03514
N33002,R03584
N33002,R03503
N33002,R03501
N33002,R03672
N33002,R03524
N33002,R03507
N33002,R03569
N33002,R03702
N33002,R03515
N33002,R03485
N33002,R03762
N33003,R03475
N33003,R03628
N33003,R03716
N33003,R03457
N33003,R03748
N33003,R03608
N33003,R03691
N33003,R03752
N41001,R02151
N41001,R02384
N41001,R02192
N41001,R02131
N41002,R02202
N41002,R02393
N41002,R02399
N41002,R02267
N41002,R02251
N41002,R02217
N41002,R02366
N41002,R02304
N41002,R02314
N41002,R02348
N41002,R02391
N41002,R02262
N41002,R02216
N41002,R02280
N42001,R02386
N42001,R02363
N42001,R02114
N42001,R02112
N42001,R02333
N42001,R02125
N42001,R02120
N42001,R02290
N42001,R02123
N42001,R02122
N42001,R02392
N42001,R02387
N42002,R02238
N42002,R02128
N42002,R02362
N42002,R02127
N42002,R02153
N42002,R02178
N43001,R02471
N43001,R02509
N43001,R02402
N43001,R02524
N43001,R02580
N43001,R02586
N43001,R02466
N43001,R02535
N43001,R02475
N43001,R02564
N43001,R04000
N43002,R02494
N43002,R02549
N43002,R02498
N43002,R02442
N43002,R02414
N51001,R01121
N51001,R00945
N51001,R00956
N51001,R01123
N51001,R00947
N51001,R00957
N51002,R01124
N51002,R00166
N51002,R00960
N51002,R01424
N51002,R00958
N51003,R01126
N51003,R01128
N51003,R00962
N51003,R03957
N51003,R01455
N51003,R00949
N51003,R00954
N51003,R00955
N51003,R00948
N51003,R00961
N51003,R01450
N51004,R00963
N51004,R00950
N51004,R00951
N51004,R01119
N51004,R01381
N51004,R01369
N51004,R00953
N51004,R01120
N52001,R01026
N52001,R01032
N52001,R01129
N52001,R01445
N52001,R01432
N52001,R01118
N52001,R01112
N52001,R01023
N53001,R01843
N53001,R01476
N53001,R01488
N53001,R01489
N53001,R02038
N53001,R01462
N53001,R01980
N53001,R01480
N53001,R01463
N53001,R01827
N53001,R02086
N53001,R01458
N53001,R01475
N53003,R01740
N53003,R01465
N53003,R01468
N53003,R03962
N53003,R01467
N53003,R01862
N53003,R01965
N53003,R01461
N53003,R01487
N53003,R01481
N53003,R01460
N53003,R01745
N54001,R01522
N54001,R02061
N54001,R01735
N54001,R01880
N54001,R03989
N54001,R01534
N54001,R02077
N54001,R01570
N54001,R01561
N54001,R01527
N54001,R01494
N54002,R01636
N54002,R01641
N54002,R01639
N54002,R01691
N54002,R02104
N54002,R01628
N54002,R01726
N54003,R01583
N54003,R01905
N54003,R01782
N54003,R01580
N54003,R02018
N54003,R01929
N54003,R01991
N54003,R01669
N54003,R01804
N54003,R01951
N54003,R01796
N55001,R01044
N55001,R01198
N55001,R01060
N55001,R01178
N55002,R01413
N55002,R01403
N55002,R01066
N55002,R01131
N55002,R00981
N55002,R00964
N55002,R01272
N55002,R01033
N55002,R01283
N55002,R00990
N55002,R01070
N55002,R01382
N55002,R00970
N55003,R01163
N55003,R01353
N55003,R01316
N55003,R01295
N55003,R00991
N55003,R01202
N55003,R01153
N55003,R01003
N55003,R01260
N55003,R01247
N55003,R01173
N55004,R01423
N55004,R01225
N55004,R01418
N55004,R01071
N61001,R03137
N61001,R03826
N61001,R02608
N61001,R02856
N61001,R02933
N61001,R02956
N61001,R03019
N61001,R03043
N61001,R03825
N61001,R03065
N61001,R02609
N61001,R02942
N61001,R03006
N61002,R02700
N61002,R02667
N61002,R02897
N61002,R02675
N61002,R02782
N61002,R02804
N61002,R02846
N61002,R02751
N61002,R02842
N61002,R02810
N61002,R03829
N61002,R03130
N61002,R02872
N61002,R03830
N61002,R02698
N62001,R02590
N62001,R02592
N62001,R02606
N62001,R02604
N62001,R02986
N62001,R02792
N62001,R02824
N62002,R02597
N62002,R02600
N62002,R02598
N62002,R03107
N62002,R02886
N62002,R02893
N62002,R02730
N62002,R02894
N62002,R02931
N62002,R03050
N62002,R02914
N63001,R03410
N63001,R03386
N63001,R03271
N63001,R03356
N63001,R03336
N63001,R03169
N63001,R03180
N63001,R03317
N63001,R03223
N63001,R03831
N63001,R03247
N63001,R03183
N63001,R03218
N63001,R03204
N63001,R03154
N63001,R03151
N63001,R03295
N63001,R03203
N63001,R03394
N63001,R03162
N63003,R03388
N63003,R03200
N63003,R03186
N63003,R03251
N63004,R44444
N64001,R03792
N64001,R03791
N64001,R03788
N64001,R03784
N64001,R03817
N64001,R03795
N64001,R03775
N64001,R03808
N64001,R03781
N64001,R03799
N64001,R03771
N700002,R5555
N70002,R33333
